dataset,method,completed_rows,total_rows,blocked_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,median_mse_delta_pct_vs_raw,improved_configs,max_mse_harm_pct,best_mse_gain_pct,test_threshold_leakage
ECL,DishTS,60,60,0,123582.43241908996,251.34823794666323,3.3311883274966245,2.6587999114329453,14,28.36955270163316,-19.2162245254691,False
ECL,HalluGuard-LRBN,60,60,0,122558.99795216824,250.08266104253937,2.30219653440898,2.4420516879896272,18,12.811436045966696,-9.842731360648388,False
ECL,NST,60,60,0,122938.00867545459,250.43234254380144,2.731595260375699,2.229655054592106,18,18.311125432194174,-13.008187682378649,False
ECL,RevIN,60,60,0,122254.06442036145,249.8699224876546,2.0599928590659458,1.6132701218249885,17,21.933587366189848,-11.671885898398047,False
ECL,SAN,60,60,0,136087.95627421758,266.7196840999989,14.152573806184844,13.256217479975808,0,55.884706209050705,0.11976598433839244,False
ECL,TAFAS,60,60,0,120331.38100645937,248.30823101183486,0.49797026988525844,-0.014572769021069503,30,13.334628071286902,-10.99976050874082,False
ECL,ema_smoothing,60,60,0,140605.827676325,274.7987861410549,17.70539323525371,18.590955931042572,0,23.822045205371694,9.538367625768004,False
ECL,matched_sparse_smoothing,60,60,0,120778.12585920203,248.3771666849473,0.8956191985013648,0.7763734599871852,13,3.224465475655172,-2.0669625575173023,False
ECL,median_smoothing,60,60,0,120034.63438293096,247.392507369429,0.23528475902463641,0.2042515911462526,21,1.353355713749074,-0.8153823151547906,False
ECL,naive_smoothing,60,60,0,120778.12585920203,248.3771666849473,0.8956191985013648,0.7763734599871852,13,3.224465475655172,-2.0669625575173023,False
ECL,raw_no_correction,60,60,0,119773.39691845713,247.57791975504304,0.0,0.0,0,0.0,0.0,False
ETTh1,DishTS,60,60,0,6.611737485984141,1.9741499063170798,-3.0768838446287936,0.38370323609878665,25,9.935272958569005,-50.100457141578055,False
ETTh1,HalluGuard-LRBN,60,60,0,6.583462658698196,1.9711152915935697,-3.584264406354279,-0.11998369661249066,33,7.813894428470166,-46.88045238325635,False
ETTh1,NST,60,60,0,6.59334071920714,1.9722324664172866,-3.4237997184188016,-0.5727570458590991,36,9.295525133434353,-46.708099157239054,False
ETTh1,RevIN,60,60,0,6.568806661869787,1.968848269420865,-3.7516215428650543,-0.45885947896099566,33,7.325805343877485,-46.577581300015375,False
ETTh1,SAN,60,60,0,6.820285455597577,2.004298679721086,0.33740416026295633,4.3957382631459065,14,17.701526396782846,-52.26111463093938,False
ETTh1,TAFAS,60,60,0,6.991892314578292,2.024422402129825,0.24888643971743896,0.0561919414961219,30,19.363954137379014,-16.285574324924333,False
ETTh1,ema_smoothing,60,60,0,6.987583231431048,2.0222317396759655,-0.007401359081778168,0.05103873430942587,22,0.1765990311345974,-0.4654527112078593,False
ETTh1,matched_sparse_smoothing,60,60,0,6.972713711642041,2.0198539675140927,-0.23582452153356806,-0.2147845885878337,60,-0.054903672104709624,-0.6374844631891213,False
ETTh1,median_smoothing,60,60,0,6.9767258211284116,2.0206761900296666,-0.17482268747553315,-0.16207814491089526,60,-0.0553512796131943,-0.4699437114508798,False
ETTh1,naive_smoothing,60,60,0,6.972713711642041,2.0198539675140927,-0.23582452153356806,-0.2147845885878337,60,-0.054903672104709624,-0.6374844631891213,False
ETTh1,raw_no_correction,60,60,0,6.988417354767956,2.02276154115338,0.0,0.0,0,0.0,0.0,False
ETTh2,DishTS,60,60,0,26.70329639704504,4.045135861555084,-0.2292007067320003,0.6872197198517931,25,14.344494284828246,-27.64314550028693,False
ETTh2,HalluGuard-LRBN,60,60,0,26.146174183009105,4.0050112107981555,-2.3118224436683508,-0.6750429321283199,40,4.693599007777226,-27.542635934826155,False
ETTh2,NST,60,60,0,26.241624943063755,4.011779569686583,-2.1262122558426784,-1.228971032863733,39,9.916377411601074,-26.58322466192886,False
ETTh2,RevIN,60,60,0,26.33291610365521,4.019399031639524,-1.8256043183471844,-0.9480229697612303,42,6.627856058268863,-26.631477113313558,False
ETTh2,SAN,60,60,0,25.45084558130186,3.924914213687924,-4.917250703175171,-4.326051170695015,51,9.142743178465901,-28.98773213374683,False
ETTh2,TAFAS,60,60,0,26.81674096559738,4.054637616578167,-0.4677502011341031,-0.32153624637519773,34,9.39250588607541,-11.437768827179195,False
ETTh2,ema_smoothing,60,60,0,28.319144229456665,4.1910130269271795,5.230175232119475,4.966394308627924,0,9.320577383547962,2.1064287411341187,False
ETTh2,matched_sparse_smoothing,60,60,0,27.032473027189333,4.068267921331039,0.0281287987304748,0.022235043455070217,21,0.548458402312911,-0.34797021339549766,False
ETTh2,median_smoothing,60,60,0,27.010209923581833,4.066083146546881,-0.05029369150071084,-0.04467128338237844,36,0.19508760273085995,-0.4874738097181222,False
ETTh2,naive_smoothing,60,60,0,27.053470862162154,4.071992548322542,0.1284442333643624,0.09496141337207832,19,0.7096474513845684,-0.6796945750986004,False
ETTh2,raw_no_correction,60,60,0,27.03009639063379,4.066118413060792,0.0,0.0,0,0.0,0.0,False
ETTm1,DishTS,60,60,0,4.433570771473003,1.5803134365704377,-2.9005015033986385,0.32000925052202206,21,3.935861500756932,-33.80121243393711,False
ETTm1,HalluGuard-LRBN,60,60,0,4.4402275876718935,1.579426648652583,-2.8995210203319015,-0.0900913516662048,34,1.820384261167067,-30.88301861309356,False
ETTm1,NST,60,60,0,4.438484653221044,1.5784132155094355,-2.981873294887507,-0.31963865482022996,37,1.9010246124786543,-30.95563565542478,False
ETTm1,RevIN,60,60,0,4.435545219854486,1.5785081525086258,-2.9977910495545417,-0.3735387344880138,38,1.7402135582491205,-30.75102613062965,False
ETTm1,SAN,60,60,0,4.528926804462967,1.5937729393262445,-0.5018047839223752,1.7420570281890226,18,8.590605249836583,-30.596829743733576,False
ETTm1,TAFAS,60,60,0,4.6277857597565,1.6023337986801989,0.5193769744742592,0.12062123324424051,29,16.363125133418873,-10.883506251779187,False
ETTm1,ema_smoothing,60,60,0,4.598186588788021,1.5972062181389068,-0.15956761340865086,-0.11905251461730706,60,-0.003538754905850017,-0.7128134039583859,False
ETTm1,matched_sparse_smoothing,60,60,0,4.599948789265823,1.598475398124777,-0.1327622920769756,-0.12318602925866065,60,-0.033243628769078715,-0.29412302111147776,False
ETTm1,median_smoothing,60,60,0,4.6007271679692,1.5987121999579377,-0.11184761106236327,-0.1094666199501584,60,-7.628056105802871e-05,-0.2426132339948609,False
ETTm1,naive_smoothing,60,60,0,4.59975222868265,1.5984393920953803,-0.13560809477142738,-0.12669358691366306,60,-0.03533790539551254,-0.29412302111147776,False
ETTm1,raw_no_correction,60,60,0,4.605221120362545,1.5998441300297597,0.0,0.0,0,0.0,0.0,False
ETTm2,DishTS,60,60,0,16.24912436504258,2.994458591363039,-0.6486470781496599,0.4624665631948457,24,3.0699015003751424,-11.1088850010557,False
ETTm2,HalluGuard-LRBN,60,60,0,16.236223360383512,2.990221095627038,-0.8718235061520041,-0.28094098467688566,36,3.903619274057823,-8.095110756815382,False
ETTm2,NST,60,60,0,16.22333763737174,2.9885339250188565,-0.9479383955155107,-0.42393774056874933,39,2.2743452432752633,-7.071091919733342,False
ETTm2,RevIN,60,60,0,16.22570849099933,2.9915282141041017,-0.848389736929003,-0.4028445237554792,39,2.4774473367199805,-7.748834701907983,False
ETTm2,SAN,60,60,0,16.156159950175383,3.005831843476369,-1.1510612496315915,-0.7222691372993388,42,4.4571391615606695,-7.9760145570673675,False
ETTm2,TAFAS,60,60,0,16.35019998131839,2.9984998695722465,-0.3338934914170447,-0.317909230681944,37,5.413176469297414,-6.400895765767022,False
ETTm2,ema_smoothing,60,60,0,16.51282843558715,3.0159687310706764,0.9793218936969208,0.7774962178682826,2,2.796334209405121,-0.16819284351920627,False
ETTm2,matched_sparse_smoothing,60,60,0,16.378132086301736,3.0026161744498534,-0.03135654775671783,-0.024293261570382065,48,0.050567158379536264,-0.19042075908233289,False
ETTm2,median_smoothing,60,60,0,16.371126168235616,3.0015436509298374,-0.07650959319985441,-0.06767132279596583,51,0.002621679534551197,-0.2722806085000866,False
ETTm2,naive_smoothing,60,60,0,16.367155375559015,3.001117594218243,-0.10166513738666692,-0.09802879908469903,48,0.050567158379536264,-0.3990109107043591,False
ETTm2,raw_no_correction,60,60,0,16.382929326962685,3.003079339598124,0.0,0.0,0,0.0,0.0,False
Traffic,DishTS,60,60,0,7.704497993865357e-05,0.005995148706076636,-0.958791204543173,0.7441606000269194,24,24.08991004089886,-23.221012278933628,False
Traffic,HalluGuard-LRBN,60,60,0,7.474744551707352e-05,0.005886774455187152,-4.273671548542569,-1.596707704810913,44,7.391448816842405,-22.771666519966626,False
Traffic,NST,60,60,0,7.474219873158357e-05,0.005876173460447117,-4.2286215424122515,-0.17719165695110728,31,10.662262317933255,-24.001650335805312,False
Traffic,RevIN,60,60,0,7.48575167546556e-05,0.005884841711284065,-4.0609177646886305,-1.0663719973175503,38,7.184213332864629,-24.116510018892033,False
Traffic,SAN,60,60,0,9.261328446659697e-05,0.006560551015253596,20.04395456889571,7.7002223698433365,21,181.33049694431804,-18.701794848980963,False
Traffic,TAFAS,60,60,0,7.82503550450552e-05,0.0060910022019859105,-0.18093750660059202,-0.34118517237391,35,17.251937413806356,-9.621621894499965,False
Traffic,ema_smoothing,60,60,0,0.00015660066692320697,0.009982183752161623,102.30455473259431,106.274152433884,0,141.95790184868943,59.349343860705005,False
Traffic,matched_sparse_smoothing,60,60,0,8.11468925382216e-05,0.00624369428654207,3.6204406386860204,3.72908866904587,6,8.62172181071424,-1.1729656814059173,False
Traffic,median_smoothing,60,60,0,7.86211235000266e-05,0.006065230265904015,0.21597587722826184,0.2903317476299446,9,0.8387662940620043,-1.4850699155778806,False
Traffic,naive_smoothing,60,60,0,8.11468925382216e-05,0.00624369428654207,3.6204406386860204,3.72908866904587,6,8.62172181071424,-1.1729656814059173,False
Traffic,raw_no_correction,60,60,0,7.845639667653227e-05,0.006087554286804393,0.0,0.0,0,0.0,0.0,False
Weather,DishTS,60,60,0,310.54385567934634,13.1194309092329,-12.431229699353828,-8.671073787060394,51,66.63577519231838,-74.68205372236612,False
Weather,HalluGuard-LRBN,60,60,0,255.3347162849605,11.908182892602456,-14.927318009133735,-0.5247938908447118,32,6.004917208685582,-79.29595606956936,False
Weather,NST,60,60,0,256.9648142226076,11.957689533689502,-14.331714989037351,-0.2468889972437343,32,7.567934453490838,-78.79321974521076,False
Weather,RevIN,60,60,0,256.64067955180525,11.952946481136223,-14.420496519754556,-0.20106262165244934,31,6.198994088623913,-78.75993112133851,False
Weather,SAN,60,60,0,681.7799159329458,19.349864499239402,130.1542858261164,122.2003671789736,12,645.3047368447418,-47.32071531942384,False
Weather,TAFAS,60,60,0,388.47791898878427,14.681962289408277,-0.4304661730668408,-0.59480509186865,38,6.872370097425345,-10.245106818215872,False
Weather,ema_smoothing,60,60,0,386.22403197150754,14.625057013643076,-0.8197938186209038,-0.599875504479595,60,-0.05945447429753351,-2.569879545608192,False
Weather,matched_sparse_smoothing,60,60,0,389.307300279408,14.699830971154805,-0.09567041993724294,-0.08202622690250883,60,-0.017583146588130226,-0.30500047652715206,False
Weather,median_smoothing,60,60,0,390.45567290013076,14.723382811294506,-0.06648618964502301,-0.22401843132444488,51,3.041102244407773,-1.1259119350878413,False
Weather,naive_smoothing,60,60,0,388.6355037885842,14.689305985106971,-0.31541701013905427,-0.19360937913793425,60,-0.017583146588130226,-1.175961866907031,False
Weather,raw_no_correction,60,60,0,389.6058223737453,14.704668449787828,0.0,0.0,0,0.0,0.0,False
